"tool_mage_url","tool","tool_description","category","upvotes","tags"
"https://uploads-ssl.webflow.com/63994dae1033718bee6949ce/63e9c9bcbbd47ffedf108a88_markopolo-logo.png","Markopolo","An eCommerce growth platform to optimize ads and personalize omnichannel marketing.","Marketing","69",""
"https://uploads-ssl.webflow.com/63994dae1033718bee6949ce/63cee66498a84d18feba4c1d_Screenshot-1-23-2023-11.56.12%20AM.png","ViralViews","AI-powered content discovery tool","Research","68",""
"https://uploads-ssl.webflow.com/63994dae1033718bee6949ce/639bb00bc658fc0724b93967_soundraw_ogp_EN.png","Soundraw","Generate royalty-free AI music in any theme","Music","68","Matt's Picks"
"https://uploads-ssl.webflow.com/63994dae1033718bee6949ce/63d1a8e4208f874a27c12d05_og-image.png","Present AI","Slide presentation generator","Copywriting","67","Generative Art"
"https://uploads-ssl.webflow.com/63994dae1033718bee6949ce/63d2cab99a497164967017b8_634f1e9f33a54abb0aaf7da2_Durable%2520artwork-p-2000.png","Durable","AI-powered website generator","Marketing","66","Generative Code"
"https://uploads-ssl.webflow.com/63994dae1033718bee6949ce/63d1a8df858ca0f3e7b3310d_lexii-sharing-image.png","Lexii.ai","AI search assistant","Chat","64","Matt's Picks"
"https://uploads-ssl.webflow.com/63994dae1033718bee6949ce/639ac4f9a95e0ecf29a1bf01_a_high_detail_shot_of_a_cat_wearing_a_suit_realism_8k_-n_9_.png","Replicate","Plug in an image and it will attempt to give you a prompt to replicate that image","Generative Art","64","Image Scanning"
"https://uploads-ssl.webflow.com/63994dae1033718bee6949ce/63c48d824553f622c4da499d_a7c95ddf-2a44-4b32-a9f8-7965a4c29c05.png","Applicant AI","Uses AI to quickly create resumes and cover letters from a LinkedIn profile","Self-Improvement","64","Social Media"
"https://uploads-ssl.webflow.com/63994dae1033718bee6949ce/63d414bae706df1b2505e708_Screenshot-1-27-2023-10.15.17%20AM.png","Brainfish","AI-powered knowledgebase","Marketing","63",""
"https://uploads-ssl.webflow.com/63994dae1033718bee6949ce/63c05d35a5eff79550dee088_metavoice-card.png","MetaVoice Studio","Record your voice and this tool will convert it to other voices","Voice Modulation","63",""
"https://uploads-ssl.webflow.com/63994dae1033718bee6949ce/63e5e03f0c61ba59bd77b1aa_magic_cover.jpeg","Piggy Magic","Create an engaging and shareable webpage in seconds","Generative Code","62",""
"https://uploads-ssl.webflow.com/63994dae1033718bee6949ce/63d812c7498a8bfaec9bf9f9_gptkit-2.png","GPTKit","AI text generation detection tool","AI Detection","62",""
"https://uploads-ssl.webflow.com/63994dae1033718bee6949ce/639b940eeaa548a2487fed8b_62556b0c0f63294bbf9b2353_OG%2520image%2520front%2520(4)%2520(1).png","Synthesia","AI text-to-video - Add voice and speaking animation to avatars","Text-To-Speech","61","Generative Video"
"https://uploads-ssl.webflow.com/63994dae1033718bee6949ce/63c85d150c294d576b33db24_simplified-home-page-og-image.webp","Simplified","An all-in-one graphics, video and text tool","Generative Art","61","Copywriting"
"https://uploads-ssl.webflow.com/63994dae1033718bee6949ce/63d1a8dd5702b900e8daa2a5_kiXLKW_9WvMAPMfCp8Xx2veGA4YDyf0_XtryDrembFkbTmjo0en2kjrx9Nv2qNepEDzN.png","AI ChatLab","Combines many chat apps into one","Chat","61",""
"https://uploads-ssl.webflow.com/63994dae1033718bee6949ce/639b940e082c9d4b088f38d8_thumb-home.jpeg","Pictory","Convert text scripts and articles into videos with stock footage","Video Editing","60","Text-To-Speech"
"https://uploads-ssl.webflow.com/63994dae1033718bee6949ce/63c71499a3f98709cbd12b63_RLZ2iKIIgpimbF0CUqTN5X5jkg.png","Promptstacks","Free vetted prompts curated for tools like ChatGPT","Prompt Guides","60","Matt's Picks"
"https://uploads-ssl.webflow.com/63994dae1033718bee6949ce/63d020474ce452f0052da583_preview.png","WatchNow","AI movie and TV show recommendation tool","For Fun","59","Matt's Picks"
"https://uploads-ssl.webflow.com/63994dae1033718bee6949ce/63b05fc92a11a1b7d8e70297_8b913272-26e8-426d-885c-b27cb97a879a_image_111.jpeg","Inworld AI","Create realistic AI characters with natural language","Chat","59","Gaming"
"https://uploads-ssl.webflow.com/63994dae1033718bee6949ce/639b940e082c9d53fa8f38d9_61d86070203e0e0b0b6c2cb3_app_icon_white_bg_1024.png","Supercreator.ai","Create AI videos from scripts on your smart phone","Marketing","59","Social Media"
"https://uploads-ssl.webflow.com/63994dae1033718bee6949ce/63c85d1aa9800315766c1f91_crOM1mq.jpeg","Konjer","A library full of talking books","Chat","58","Research"
"https://uploads-ssl.webflow.com/63994dae1033718bee6949ce/63be4badc9d13e1d2bba1fa1_63bc6c92edf572adc86fd399_Screenshot%2520(145).png","You.com","AI-powered search engine providing personalized results, private search, and AI-driven tools","Research","58","Productivity"
"https://uploads-ssl.webflow.com/63994dae1033718bee6949ce/63f009851117b4251c103db0_nSd886JOxghBrZkBXuP-CpO1ArItA9oBrlzeRfqTdldeIwvu7nSDp_6OMKjeK9dhkXvzx2hXW8kwLgg7eVSsvJNE_c4%3Dw128-h128-e365-rj-sc0x00ffffff.jpeg","RespoAI","A Google Chrome Extension to create responses.","Productivity","58",""
"https://uploads-ssl.webflow.com/63994dae1033718bee6949ce/63be4b8cf1dcf708c55fe60d_63bdb77c5b7f240b8f5c243e_PhotoRetouching-1.webp","AILab Tools","Suite of image processing tools","Image Improvement","56",""
"https://uploads-ssl.webflow.com/63994dae1033718bee6949ce/63c466ca34044028a0f6cb14_1200x630wa.png","Scribble AI","Text generator that quickly creates content in any style, for any topic","Copywriting","55",""
"https://uploads-ssl.webflow.com/63994dae1033718bee6949ce/63e9cbe277dff80c5c42a6a1_picfinder-logo.png","PicFinder.AI","A tool to generate infinite number of prompt based images and size customization.","Generative Art","55",""
"https://uploads-ssl.webflow.com/63994dae1033718bee6949ce/63e6f1ac79f9de36ec39ca28_Pix2Pix-Video.png","Pix2Pix Video","Let's you change a video with text prompts","Generative Video","55","Matt's Picks"
"https://uploads-ssl.webflow.com/63994dae1033718bee6949ce/639bb00b9011da4b298c8603_629a702fc90e970b2626cd52_fb-og.jpeg","Copy.AI","AI tool for writing marketing sales copy and blog content","Copywriting","55","Marketing"
"https://uploads-ssl.webflow.com/63994dae1033718bee6949ce/63be4ba817f71c806f36c150_63bdb9b62142936a154a3e35_8ebfb4bb-5512-4789-8763-dfb03261980d.png","Synthesys X","Create your own versions of any image you find online","Generative Art","55","Matt's Picks"
"https://uploads-ssl.webflow.com/63994dae1033718bee6949ce/63cb1ba5834e064e1e02953b_8fb40b7a-114f-421b-af99-4429e6952bbe.png","NetworkAI","Connect with industry professionals using AI","Marketing","52","Self-Improvement"
"https://uploads-ssl.webflow.com/63994dae1033718bee6949ce/63ae7bef6dfc25dbe2aeb519_og-home.jpeg","Easy-Peasy.AI","AI generated text, images, and transcriptions","Generative Art","52","Copywriting"
"https://uploads-ssl.webflow.com/63994dae1033718bee6949ce/63c048a861893b3376a577d9_Screenshot%20(171).png","CheckforAi","Detect AI written text in essays, emails, and more","AI Detection","52",""
